TARGET,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CHILDREN,CNT_FAM_MEMBERS,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,EXT_SOURCE_1_MISSING,EXT_SOURCE_3_MISSING
1,202500.0,406597.5,24700.5,351000.0,-9461,-637,0,1.0,N,Y,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,Business Entity Type 3,0.0830369673913225,0.2629485927471776,0.1393757800997895,0.018801,2,2,0.0,0.0,0.0,0.0,1.0,0,0
0,270000.0,1293502.5,35698.5,1129500.0,-16765,-1188,0,2.0,N,N,State servant,Higher education,Married,House / apartment,Core staff,School,0.3112673113812225,0.6222457752555098,0.5352762504724826,0.0035409999999999,1,1,0.0,0.0,0.0,0.0,0.0,0,1
0,67500.0,135000.0,6750.0,135000.0,-19046,-225,0,1.0,Y,Y,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,Government,0.5059979305057544,0.5559120833904428,0.7295666907060153,0.010032,2,2,0.0,0.0,0.0,0.0,0.0,1,0
0,135000.0,312682.5,29686.5,297000.0,-19005,-3039,0,2.0,N,Y,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,Business Entity Type 3,0.5059979305057544,0.6504416904014653,0.5352762504724826,0.008019,2,2,0.0,0.0,0.0,0.0,0.0,1,1
0,121500.0,513000.0,21865.5,513000.0,-19932,-3038,0,1.0,N,Y,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,Religion,0.5059979305057544,0.3227382869704046,0.5352762504724826,0.028663,2,2,0.0,0.0,0.0,0.0,0.0,1,1
0,99000.0,490495.5,27517.5,454500.0,-16941,-1588,0,2.0,N,Y,State servant,Secondary / secondary special,Married,House / apartment,Laborers,Other,0.5059979305057544,0.3542247319929012,0.6212263380626669,0.035792,2,2,0.0,0.0,0.0,1.0,1.0,1,0
0,171000.0,1560726.0,41301.0,1395000.0,-13778,-3130,1,3.0,Y,Y,Commercial associate,Higher education,Married,House / apartment,Accountants,Business Entity Type 3,0.7747614130547695,0.7239998516953141,0.4920600938649263,0.035792,2,2,0.0,0.0,1.0,1.0,2.0,0,0
0,360000.0,1530000.0,42075.0,1530000.0,-18850,-449,0,2.0,Y,Y,State servant,Higher education,Married,House / apartment,Managers,Other,0.5059979305057544,0.7142792864482229,0.5406544504453575,0.0031219999999999,3,3,0.0,0.0,0.0,0.0,0.0,1,0
0,112500.0,1019610.0,33826.5,913500.0,-20099,365243,0,2.0,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,UNKNOWN,XNA,0.5873340468730377,0.2057472880073281,0.7517237147741489,0.018634,2,2,0.0,0.0,0.0,0.0,1.0,0,0
0,135000.0,405000.0,20250.0,405000.0,-14469,-2019,0,1.0,N,Y,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,Electricity,0.5059979305057544,0.7466436294590924,0.5352762504724826,0.0196889999999999,2,2,0.0,0.0,0.0,0.0,0.0,1,1
0,112500.0,652500.0,21177.0,652500.0,-10197,-679,1,3.0,N,Y,Working,Higher education,Married,House / apartment,Core staff,Medicine,0.3197601716755032,0.6518623334244781,0.363945238612397,0.0228,2,2,0.0,0.0,1.0,0.0,0.0,0,0
0,38419.155,148365.0,10678.5,135000.0,-20417,365243,0,2.0,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,UNKNOWN,XNA,0.7220444501416448,0.5551831615131809,0.6528965519806539,0.015221,2,2,0.0,0.0,0.0,0.0,2.0,0,0
0,67500.0,80865.0,5881.5,67500.0,-13439,-2717,0,2.0,N,Y,Working,Secondary / secondary special,Married,House / apartment,Laborers,Business Entity Type 2,0.4648311169632833,0.7150418188660659,0.1766525794312139,0.031329,2,2,0.0,0.0,1.0,0.0,0.0,0,0
